id,created_at,aluno_id,data,presente
130,2025-07-24 00:14:55.090151+00,123,2025-07-24,true
131,2025-07-24 00:14:55.090151+00,124,2025-07-24,true
132,2025-07-24 00:14:55.090151+00,125,2025-07-24,true
133,2025-07-24 00:14:55.090151+00,126,2025-07-24,true
134,2025-07-24 00:14:55.090151+00,127,2025-07-24,true
135,2025-07-24 00:14:55.090151+00,128,2025-07-24,true
136,2025-07-24 00:14:55.090151+00,129,2025-07-24,true
137,2025-07-24 00:14:55.090151+00,233,2025-07-24,true
138,2025-07-24 00:14:55.090151+00,229,2025-07-24,true
139,2025-07-24 00:14:55.090151+00,438,2025-07-24,true
140,2025-07-24 00:14:55.090151+00,31,2025-07-24,true
141,2025-07-24 00:14:55.090151+00,32,2025-07-24,false
142,2025-07-24 00:14:55.090151+00,33,2025-07-24,true
143,2025-07-24 00:14:55.090151+00,34,2025-07-24,true
144,2025-07-24 00:14:55.090151+00,35,2025-07-24,true
145,2025-07-24 00:14:55.090151+00,41,2025-07-24,false
146,2025-07-24 00:14:55.090151+00,43,2025-07-24,true
147,2025-07-24 00:14:55.090151+00,44,2025-07-24,true
148,2025-07-24 00:14:55.090151+00,45,2025-07-24,true
149,2025-07-24 00:14:55.090151+00,46,2025-07-24,true
150,2025-07-24 00:14:55.090151+00,36,2025-07-24,true
151,2025-07-24 00:14:55.090151+00,37,2025-07-24,true
152,2025-07-24 00:14:55.090151+00,38,2025-07-24,true
153,2025-07-24 00:14:55.090151+00,40,2025-07-24,true
154,2025-07-24 00:14:55.090151+00,130,2025-07-24,true
155,2025-07-24 00:14:55.090151+00,131,2025-07-24,true
156,2025-07-24 00:14:55.090151+00,133,2025-07-24,true
157,2025-07-24 00:14:55.090151+00,134,2025-07-24,true
158,2025-07-24 00:14:55.090151+00,135,2025-07-24,true
159,2025-07-24 00:14:55.090151+00,137,2025-07-24,false
160,2025-07-24 00:14:55.090151+00,138,2025-07-24,true
161,2025-07-24 00:14:55.090151+00,139,2025-07-24,true
162,2025-07-24 00:14:55.090151+00,140,2025-07-24,false
163,2025-07-24 00:14:55.090151+00,141,2025-07-24,true
164,2025-07-24 00:14:55.090151+00,142,2025-07-24,true
165,2025-07-24 00:14:55.090151+00,143,2025-07-24,true
166,2025-07-24 00:14:55.090151+00,144,2025-07-24,true
167,2025-07-24 00:14:55.090151+00,145,2025-07-24,true
168,2025-07-24 00:14:55.090151+00,146,2025-07-24,true
169,2025-07-24 00:14:55.090151+00,147,2025-07-24,true
170,2025-07-24 00:14:55.090151+00,150,2025-07-24,false
171,2025-07-24 00:14:55.090151+00,151,2025-07-24,true
172,2025-07-24 00:14:55.090151+00,152,2025-07-24,true
173,2025-07-24 00:14:55.090151+00,153,2025-07-24,false
174,2025-07-24 00:14:55.090151+00,154,2025-07-24,true
175,2025-07-24 00:14:55.090151+00,155,2025-07-24,false
176,2025-07-24 00:14:55.090151+00,156,2025-07-24,true
177,2025-07-24 00:14:55.090151+00,157,2025-07-24,false
178,2025-07-24 00:14:55.090151+00,158,2025-07-24,false
179,2025-07-24 00:14:55.090151+00,159,2025-07-24,false
180,2025-07-24 00:14:55.090151+00,160,2025-07-24,true
181,2025-07-24 00:14:55.090151+00,161,2025-07-24,false
182,2025-07-24 00:14:55.090151+00,162,2025-07-24,true
183,2025-07-24 00:14:55.090151+00,163,2025-07-24,false
184,2025-07-24 00:14:55.090151+00,164,2025-07-24,false
185,2025-07-24 00:14:55.090151+00,165,2025-07-24,false
186,2025-07-24 00:14:55.090151+00,166,2025-07-24,true
187,2025-07-24 00:14:55.090151+00,47,2025-07-24,true
188,2025-07-24 00:14:55.090151+00,48,2025-07-24,true
189,2025-07-24 00:14:55.090151+00,53,2025-07-24,true
190,2025-07-24 00:14:55.090151+00,54,2025-07-24,true
191,2025-07-24 00:14:55.090151+00,49,2025-07-24,true
192,2025-07-24 00:14:55.090151+00,50,2025-07-24,true
193,2025-07-24 00:14:55.090151+00,51,2025-07-24,true
194,2025-07-24 00:14:55.090151+00,52,2025-07-24,true
195,2025-07-24 00:14:55.090151+00,55,2025-07-24,true
196,2025-07-24 00:14:55.090151+00,167,2025-07-24,true
197,2025-07-24 00:14:55.090151+00,168,2025-07-24,true
